"","l","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"104",34198.0907538012,-11803.5980681522,-6393.42540745471,-3336.51670126494,7693.50995392804,18988.5030281669,21810.4964704748,20316.9060871418,6527.63486681596,-7449.92637498381,-13786.3964330868,-16732.2164200285,-15833.9660984735
"105",36290.3736131141,-15833.586396115,-11803.5980681522,-6393.42540745471,-3336.51670126494,7693.50995392804,18988.5030281669,21810.4964704748,20316.9060871418,6527.63486681596,-7449.92637498381,-13786.3964330868,-16732.2164200285
"106",34195.180170783,-16732.5966505926,-15833.586396115,-11803.5980681522,-6393.42540745471,-3336.51670126494,7693.50995392804,18988.5030281669,21810.4964704748,20316.9060871418,6527.63486681596,-7449.92637498381,-13786.3964330868
"107",34107.1307234795,-13786.4124120844,-16732.5966505926,-15833.586396115,-11803.5980681522,-6393.42540745471,-3336.51670126494,7693.50995392804,18988.5030281669,21810.4964704748,20316.9060871418,6527.63486681596,-7449.92637498381
"108",33254.5377768203,-7450.08110145939,-13786.4124120844,-16732.5966505926,-15833.586396115,-11803.5980681522,-6393.42540745471,-3336.51670126494,7693.50995392804,18988.5030281669,21810.4964704748,20316.9060871418,6527.63486681596
"109",31494.37657444,6527.31543708063,-7450.08110145939,-13786.4124120844,-16732.5966505926,-15833.586396115,-11803.5980681522,-6393.42540745471,-3336.51670126494,7693.50995392804,18988.5030281669,21810.4964704748,20316.9060871418
"110",32019.3751524786,20317.0013625953,6527.31543708063,-7450.08110145939,-13786.4124120844,-16732.5966505926,-15833.586396115,-11803.5980681522,-6393.42540745471,-3336.51670126494,7693.50995392804,18988.5030281669,21810.4964704748
"111",37612.6426936211,21811.5115229415,20317.0013625953,6527.31543708063,-7450.08110145939,-13786.4124120844,-16732.5966505926,-15833.586396115,-11803.5980681522,-6393.42540745471,-3336.51670126494,7693.50995392804,18988.5030281669
"112",31698.6522412211,18987.4297716933,21811.5115229415,20317.0013625953,6527.31543708063,-7450.08110145939,-13786.4124120844,-16732.5966505926,-15833.586396115,-11803.5980681522,-6393.42540745471,-3336.51670126494,7693.50995392804
"113",35916.8802513619,7694.27546759521,18987.4297716933,21811.5115229415,20317.0013625953,6527.31543708063,-7450.08110145939,-13786.4124120844,-16732.5966505926,-15833.586396115,-11803.5980681522,-6393.42540745471,-3336.51670126494
"114",34671.8492193431,-3336.74264644116,7694.27546759521,18987.4297716933,21811.5115229415,20317.0013625953,6527.31543708063,-7450.08110145939,-13786.4124120844,-16732.5966505926,-15833.586396115,-11803.5980681522,-6393.42540745471
"115",32784.256165346,-6393.76796320974,-3336.74264644116,7694.27546759521,18987.4297716933,21811.5115229415,20317.0013625953,6527.31543708063,-7450.08110145939,-13786.4124120844,-16732.5966505926,-15833.586396115,-11803.5980681522
"116",36263.7987185721,-11802.9666093089,-6393.76796320974,-3336.74264644116,7694.27546759521,18987.4297716933,21811.5115229415,20317.0013625953,6527.31543708063,-7450.08110145939,-13786.4124120844,-16732.5966505926,-15833.586396115
"117",38089.3231946368,-15833.2551044131,-11802.9666093089,-6393.76796320974,-3336.74264644116,7694.27546759521,18987.4297716933,21811.5115229415,20317.0013625953,6527.31543708063,-7450.08110145939,-13786.4124120844,-16732.5966505926
"118",43435.2474936488,-16731.6264853704,-15833.2551044131,-11802.9666093089,-6393.76796320974,-3336.74264644116,7694.27546759521,18987.4297716933,21811.5115229415,20317.0013625953,6527.31543708063,-7450.08110145939,-13786.4124120844
"119",46865.6487243647,-13785.7898712877,-16731.6264853704,-15833.2551044131,-11802.9666093089,-6393.76796320974,-3336.74264644116,7694.27546759521,18987.4297716933,21811.5115229415,20317.0013625953,6527.31543708063,-7450.08110145939
"120",45207.2148334066,-7450.3820699719,-13785.7898712877,-16731.6264853704,-15833.2551044131,-11802.9666093089,-6393.76796320974,-3336.74264644116,7694.27546759521,18987.4297716933,21811.5115229415,20317.0013625953,6527.31543708063
"121",50115.1594616643,6528.206118827,-7450.3820699719,-13785.7898712877,-16731.6264853704,-15833.2551044131,-11802.9666093089,-6393.76796320974,-3336.74264644116,7694.27546759521,18987.4297716933,21811.5115229415,20317.0013625953
"122",49619.6734081114,20316.9114430023,6528.206118827,-7450.3820699719,-13785.7898712877,-16731.6264853704,-15833.2551044131,-11802.9666093089,-6393.76796320974,-3336.74264644116,7694.27546759521,18987.4297716933,21811.5115229415
"123",42397.4594577102,21810.2008532781,20316.9114430023,6528.206118827,-7450.3820699719,-13785.7898712877,-16731.6264853704,-15833.2551044131,-11802.9666093089,-6393.76796320974,-3336.74264644116,7694.27546759521,18987.4297716933
